年分,晶圓尺寸,客戶,產品,站別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2012,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),10597,11202,7442,14882,16723,8907,14502,14351,10221,9994,9288,11300,139409
2013,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),6106,10686,6272,14383,11069,11548,9518,13900,8940,10752,9102,7615,119891
2014,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),5380,9541,7605,14239,11576,8776,10398,12600,8140,9051,6759,6561,110626
2015,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),6669,10048,5962,13239,10358,6846,8846,10658,7581,7783,6157,5633,99780
2016,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),5699,8828,5127,8663,8826,6971,8285,8298,5418,6745,6041,5715,84616
2017,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),5423,6459,4974,9348,8624,5110,6420,8387,5282,7080,5353,5230,77690
2018,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),0,0,0,0,0,0,0,0,0,0,0,0,0
2018,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),3944,7099,5369,8858,9601,5688,7961,6627,5521,5184,4048,5328,75228
2019,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),39530,65638,60480,91027,91890,73673,69113,64494,59694,70240,79390,821033,1586202
2019,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),3836,4853,4698,7147,7550,6396,6957,7672,5241,10860,5254,5256,75720
2020,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),63895,39076,26998,41672,60888,44397,60776,70244,54335,68004,79546,56082,665913
2020,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),5877,4033,2035,2820,4625,4625,6653,7997,4618,6465,3681,3848,57277
2021,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),43871,46287,47915,84745,35693,0,3884,15554,17915,27781,,,323645
2021,03奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),3759,4109,3165,6755,3154,0,518,3177,3123,2894,,,30654
2012,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),16624,10295,17310,92907,29078,64313,43447,11537,15058,24913,18884,14903,359269
2012,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),32891,18653,20177,50224,58457,24979,25462,22373,22710,27813,21617,32891,358247
2012,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),88000,104000,100000,112000,130200,68000,70800,53200,54200,72000,84000,116000,1052400
2012,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),0,0,0,0,0,0,0,0,0,0,0,0,0
2013,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),8227,23992,14415,50401,16794,65681,14230,13622,21588,25718,21241,14726,290635
2013,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),19096,29558,26080,43602,45440,27333,28935,51640,30647,45429,49828,26324,423912
2013,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),80000,68000,92000,91400,97400,69400,49800,39000,60200,71600,84600,101200,904600
2013,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),40850,83080,105868,241220,115714,113472,95128,82400,38166,78363,78363,64182,1136806
2014,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),9221,10800,16093,41664,19119,46885,15021,19508,16986,28224,20323,17033,260877
2014,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),32967,33295,25635,177654,48848,38139,32139,29523,30006,33431,32445,28914,542996
2014,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),62400,63800,100000,80000,98400,73400,71400,52800,47800,112000,52000,92000,906000
2014,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),44544,60307,79814,397623,181554,89892,77168,81540,75740,105446,77817,101619,1373064
2015,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),12230,22735,14849,47757,16443,19141,10496,10509,12648,24410,21238,11961,224417
2015,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),30077,37504,38909,181476,50003,33190,31610,26270,23253,35242,29771,18134,535439
2015,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),54800,58800,73600,67200,74400,53600,44000,42800,75200,72200,84000,84400,785000
2015,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),84218,78718,83140,346498,168745,47386,30622,23772,25998,36174,43334,30272,998877
2016,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),7293,13780,7937,16405,8429,6054,4529,7520,11602,20660,16419,13579,134207
2016,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),15233,18805,10332,23997,20453,12351,23491,15445,11505,25452,15389,13200,205653
2016,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),60000,80200,55200,59800,72000,43600,38400,24000,26703,45021,131454,252296,888674
2016,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),19366,35991,23461,60316,120019,22330,21424,15978,15078,26023,26114,19058,405158
2017,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),7789,4141,8400,11570,7919,3340,4494,5817,8244,13806,11928,11871,99319
2017,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),15346,8956,12051,17328,19372,12004,15258,13824,7172,12552,12170,8475,154508
2017,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),235461,257823,209609,120293,51205,29200,25729,27706,20986,25766,34392,88560,1126730
2017,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),5233,6000,2800,6000,15000,2500,2000,2100,1500,2500,2500,2850,50983
2018,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),5243,15740,7049,14060,9723,2710,5064,2269,8480,10360,10764,6175,97637
2018,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),6329,6920,7950,22808,10875,5837,2540,5150,4191,20040,9552,10124,112316
2018,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),196011,407850,183717,109248,35106,23029,28007,24550,16302,26572,34514,138219,1223125
2018,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),1500,5000,2800,18000,15000,8500,6000,5000,3800,4000,3500,5000,78100
2018,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05奈米,01英偉達(NVDA),GPU,052拋光研磨(化學研磨),1270,4122,4115,8553,4119,1493,878,1430,6364,6869,6031,6299,51543
